"Buying   MaintenanceDoors    Person lug_bootsafety   class"
"vhigh    vhigh              2      2small low        unacc"
"vhigh    vhigh              2      2small med        unacc"
"vhigh    vhigh              2      2small high       unacc"
"vhigh    vhigh              2      2med     low      unacc"
"vhigh    vhigh              2      2med     med      unacc"
"vhigh    vhigh              2      2med     high     unacc"
"vhigh    vhigh              2      2big     low      unacc"
"vhigh    vhigh              2      2big     low      unacc"
"vhigh    vhigh              2      2big     med      unacc"
"vhigh    vhigh              2      2big     high     unacc"
"vhigh    vhigh              2      4small low        unacc"
"vhigh    vhigh              2      4small med        unacc"
"vhigh    vhigh              2      4small med        unacc"
"vhigh    vhigh              2      4small high       unacc"
"vhigh    vhigh              2      4med     low      unacc"
"vhigh    vhigh              2      4med     med      unacc"
"vhigh    vhigh              2      4med     high     unacc"
"vhigh    vhigh              2      4big     low      unacc"
"vhigh    vhigh              2      4big     med      unacc"
"vhigh    vhigh              2      4big     high     unacc"
"vhigh    vhigh              2more small low          unacc"
"vhigh    vhigh              2more small med          unacc"
"vhigh    vhigh              2more small high         unacc"
"vhigh    vhigh              2more med       low      unacc"
"vhigh    vhigh              2more med       med      unacc"
"vhigh    vhigh              2more med       high     unacc"
"vhigh    vhigh              2more big       low      unacc"
"vhigh    vhigh              2more big       low      unacc"
"vhigh    vhigh              2more big       med      unacc"
"vhigh    vhigh              2more big       high     unacc"
"vhigh    vhigh              3      2small low        unacc"
"vhigh    vhigh              3      2small med        unacc"
"vhigh    vhigh              3      2small high       unacc"
"vhigh    vhigh              3      2med     low      unacc"
"vhigh    vhigh              3      2med     med      unacc"
"vhigh    vhigh              3      2med     high     unacc"
"vhigh    vhigh              3      2big     low      unacc"
"vhigh    vhigh              3      2big     med      unacc"
"vhigh    vhigh              3      2big     high     unacc"
"vhigh    vhigh              3      4small low        unacc"
"vhigh    vhigh              3      4small med        unacc"
"vhigh    vhigh              3      4small high       unacc"
"vhigh    vhigh              3      4small high       unacc"
"vhigh    vhigh              3      4med     low      unacc"
"vhigh    vhigh              3      4med     med      unacc"
"vhigh    vhigh              3      4med     high     unacc"
"vhigh    vhigh              3      4big     low      unacc"
"vhigh    vhigh              3      4big     med      unacc"
"vhigh    vhigh              3      4big     high     unacc"
"vhigh    vhigh              3more small med          unacc"
"vhigh    vhigh              3more small high         unacc"
"vhigh    vhigh              3more small high         unacc"
"vhigh    vhigh              3more med       low      unacc"
"vhigh    vhigh              3more med       med      unacc"
"vhigh    vhigh              3more med       high     unacc"
"vhigh    vhigh              3more big       low      unacc"
"vhigh    vhigh              3more big       med      unacc"
"vhigh    vhigh              3more big       high     unacc"
"vhigh    vhigh              4      2small low        unacc"
"vhigh    vhigh              4      2small low        unacc"
"vhigh    vhigh              4      2small med        unacc"
"vhigh    vhigh              4      2small high       unacc"
"vhigh    vhigh              4      2med     low      unacc"
"vhigh    vhigh              4      2med     med      unacc"
"vhigh    vhigh              4      2med     high     unacc"
"vhigh    vhigh              4      2big     low      unacc"
"vhigh    vhigh              4      2big     med      unacc"
"vhigh    vhigh              4      2big     high     unacc"
"vhigh    vhigh              4      4small low        unacc"
"vhigh   vhigh           4       4small   med    unacc"
"vhigh   vhigh           4       4small   high   unacc"
"vhigh   vhigh           4       4med     low    unacc"
"vhigh   vhigh           4       4med     med    unacc"
"vhigh   vhigh           4       4med     high   unacc"
"vhigh   vhigh           4       4big     low    unacc"
"vhigh   vhigh           4       4big     med    unacc"
"vhigh   vhigh           4       4big     high   unacc"
"vhigh   vhigh           4more    small   low    unacc"
"vhigh   vhigh           4more    small   med    unacc"
"vhigh   vhigh           4more    small   high   unacc"
"vhigh   vhigh           4more    med     low    unacc"
"vhigh   vhigh           4more    med     med    unacc"
